Producto,Categoría,Precio (COP),Contenido,Descripción
Endulzante Monk Fruit,Aderezos,27000,30ml,"Endulzante Monk Fruit en gotero, extraído de la fruta del monje. Endulza sin aportar calorías ni elevar el índice glucémico. Ideal para café, té, jugos y postres en dietas keto y bajas en azúcar."
Sal Marina,Aderezos,4000,500gr,"Sal marina natural, sin refinar, para condimentar tus comidas de forma simple. Aporta el toque mineral del mar y es ideal para cocinar, aliñar y sazonar todo tipo de platos."
Sal Rosada del Himalaya,Aderezos,15000,400gr,"Sal rosada del Himalaya, sin refinar y rica en minerales naturales. Su color característico y su sabor suave la hacen perfecta para sazonar, cocinar y dar un toque especial a tus platos."
Stevia Frasco,Aderezos,32000,180gr,"Stevia en polvo que endulza hasta 30 veces más que el azúcar, sin aportar calorías. Perfecta para endulzar bebidas, jugos, postres y café. Apta para dietas keto y bajas en azúcar."
Stevia Gotero,Aderezos,26000,60ml,"Stevia líquida en gotero, práctica y concentrada para endulzar tus bebidas al instante. Unas gotas bastan para darle dulzor natural a café, té, jugos y recetas sin sumar calorías."
Stevia Gotero,Aderezos,23000,30ml,"Stevia líquida en gotero, tamaño pequeño y fácil de llevar. Endulza tus bebidas y preparaciones sin calorías; unas gotas son suficientes para darle un toque dulce natural a cualquier receta."
Stevia x Sobres,Aderezos,42000,150 sobres,"Stevia en sobres individuales, práctica para llevar a donde quieras. Endulza bebidas y preparaciones sin calorías, ideal para endulzar tu café o té en el trabajo, viajes y comidas fuera de casa."
Vinagre de Marañón,Aderezos,45000,750 ml,"Vinagre de marañón, fermentado naturalmente a partir del fruto del marañón. De sabor suave y versátil, ideal para aderezar ensaladas, preparar aliños y marinar. Un toque natural y artesanal para realzar tus comidas."
Desodorante Roll-On,Aseo y Belleza,25000,60gr,"Desodorante roll-on natural sin aluminio, formulado para el cuidado diario de tu piel. Su fragancia suave y sus ingredientes naturales te acompañan con frescura durante todo el día."
Frío Gel Ice,Aseo y Belleza,55000,300gr,"Frío Gel Ice para masajes, con sensación refrescante que ayuda a relajar la zona aplicada. Ideal para el cuidado después del ejercicio o para calmar molestias musculares y articulares de forma natural."
Shampoo Cebolla y Biotina,Aseo y Belleza,30000,400ml,"Shampoo con cebolla y biotina, formulado para el cuidado y fortalecimiento del cabello. Sus ingredientes naturales ayudan a lucir un cabello más sano, brillante y con mejor apariencia desde la raíz."
Spray Repelente Natural,Aseo y Belleza,20000,100ml,"Spray repelente natural con citronela y eucalipto, ideal para ahuyentar insectos de forma natural. Fresco y fácil de aplicar, perfecto para el hogar y tus salidas al aire libre."
Gano Latte Rico,Bebidas,150000,20 sobres,"Bebida instantánea tipo latte con extracto de Ganoderma lucidum. Sabor suave y cremoso, ideal para quienes disfrutan de un momento cálido y reconfortante. Solo disuelve el sobre en agua caliente."
Gano Shoko Rico,Bebidas,150000,20 sobres,"Bebida instantánea sabor chocolate con extracto de Ganoderma lucidum. Deliciosa y cremosa, perfecta para el desayuno o una pausa dulce. Se prepara en segundos: añade agua caliente y revuelve."
Ganocafé 3 en 1,Bebidas,140000,,"Café instantáneo 3 en 1 con extracto de Ganoderma lucidum, un hongo apreciado en la tradición asiática. Sabor suave y cremoso, ideal para empezar el día o en cualquier momento. Solo agrega agua caliente y listo."
Kombucha,Bebidas,13000,280ml,"Kombucha artesanal, bebida fermentada con probióticos naturales. Refrescante, efervescente y con un sabor ligeramente ácido y afrutado. Disfrútala fría como alternativa natural y diferente a las gaseosas."
Yogurt de Soya,Bebidas,25000,1L,"Yogurt de soya cremoso y suave, perfecto para quienes buscan opciones vegetales. Disfrútalo solo, con granola o frutas, o úsalo en batidos y postres. Una alternativa delicada y natural para toda la familia."
Yogurt de Soya,Bebidas,11000,250ml,"Yogurt de soya en presentación práctica, cremoso y delicioso. Ideal para llevar a la oficina, el gimnasio o la universidad. Consúmelo solo o acompáñalo con frutas y cereales como merienda ligera y natural."
Zumo de Fresas y Arándanos,Bebidas,20000,1L,"Zumo refrescante de fresas y arándanos, una combinación de frutos rojos con sabor dulce y ligeramente ácido. Perfecto para acompañar tus comidas o disfrutar como bebida natural en cualquier momento del día."
Zumo de Uva,Bebidas,27000,2L,"Zumo de uva natural en presentación familiar, ideal para compartir. Sabor dulce y afrutado que puedes disfrutar frío, solo o mezclado con agua. Perfecto para acompañar el almuerzo o una tarde en casa."
Zumo de Uva 250ml,Bebidas,7500,250ml,"Porción individual de zumo de uva, práctica para llevar donde quieras. Sabor dulce y natural, refrescante en cualquier momento. Ideal para la lonchera, la oficina o tus viajes."
Zumo de Uva 500ml,Bebidas,11000,500ml,"Zumo de uva en presentación mediana, perfecta para disfrutar solo o en pareja. Sabor dulce y afrutado, delicioso bien frío. Una opción natural para acompañar tus comidas o refrescar tu día."
Zumo de Uva y Açaí,Bebidas,20000,1L,"Zumo de uva con açaí, una mezcla exótica de sabores intensos y frutales. El açaí, baya amazónica, aporta un toque especial y un color vibrante. Disfrútalo frío como una bebida natural y diferente."
Crema de Coco con sabor Almendras,Bebidas Vegetales,60000,500gr,"Crema de coco en polvo con sabor a almendras, cremosa y aromática. Perfecta para bebidas, batidos, postres y preparaciones saladas. Se disuelve fácilmente y aporta un toque tropical y dulce."
Crema de Coco en Polvo,Bebidas Vegetales,60000,500gr,"Crema de coco en polvo, cremosa y versátil para bebidas, batidos, postres y platos salados. Solo disuélvela en agua para obtener una textura rica y un sabor tropical en tus recetas."
Leche de Almendras,Bebidas Vegetales,90000,900gr,"Leche de almendras en polvo, solo debes disolverla en agua para obtener una bebida suave y cremosa. Versátil para batidos, café, cereales y recetas, una alternativa vegetal deliciosa."
Leche de Almendras en Polvo,Bebidas Vegetales,30000,250gr,"Leche de almendras en polvo, se disuelve fácilmente en agua para preparar una bebida vegetal nutritiva. Perfecta para batidos, café, postres y desayunos, ideal para toda la familia."
Leche de Soya en Polvo - Soyalat,Bebidas Vegetales,33000,500gr,"Leche de soya en polvo Soyalat, se disuelve fácilmente en agua para obtener una bebida cremosa. Ideal para batidos, avena, café y cocina, una alternativa vegetal rica en proteína vegetal."
Leche de Soya en Polvo - Soyalat,Bebidas Vegetales,20000,250gr,"Leche de soya en polvo Soyalat, se disuelve en agua para preparar una bebida suave y nutritiva. Versátil para batidos, café, cereales y recetas, una opción vegetal práctica para el día a día."
Leche de Soya en Polvo - Soyalat,Bebidas Vegetales,64000,1000gr,"Leche de soya en polvo Soyalat en presentación familiar, se disuelve en agua para preparar tu bebida vegetal favorita. Perfecta para batidos, recetas y desayunos de toda la familia."
Alogen,Desintoxicantes,30000,280ml,"Bebida a base de aloe vera con hierbas, de sabor fresco y cítrico. Una opción natural y depurativa para complementar tu rutina de bienestar. Consúmela fría, preferiblemente en ayunas o entre comidas."
Alogen,Desintoxicantes,80000,1L,"Bebida natural de aloe vera con hierbas en presentación familiar. Sabor fresco y cítrico, agradable de tomar fría. Complementa tu alimentación balanceada como parte de una rutina de bienestar y depuración natural."
Alovero,Desintoxicantes,80000,1000 ml,"Jugo de sábila (aloe vera) en presentación de 1 litro. Sabor suave y refrescante, ideal para tomar solo o mezclado con otros jugos. Una bebida natural para disfrutar en familia y complementar tu día."
Bebida Verde - Spirulina Curcuma Menta,Desintoxicantes,20000,120ml,"Bebida verde concentrada de espirulina, cúrcuma y menta. Sabor fresco y herbal, con el toque aromático de la menta. Una opción natural y práctica para sumar bienestar a tu rutina diaria."
Bilepa,Desintoxicantes,30000,500ml,"Bebida herbal depurativa elaborada con alcachofa, berros y limón. Sabor herbal con toque cítrico, refrescante y natural. Acompáñala a tus comidas como complemento de una alimentación balanceada."
Kalged,Desintoxicantes,30000,400ml,"Bebida depurativa a base de té verde, noni y uva. Sabor herbal y frutal, con un toque natural y refrescante. Una opción a base de plantas para complementar tu rutina de bienestar diaria."
Santux,Desintoxicantes,30000,360ml,"Bebida depurativa con zarzaparrilla, sábila y limón. Sabor herbal con acento cítrico, refrescante y natural. Disfrútala fría como complemento de una alimentación balanceada y un estilo de vida saludable."
Valeriana Pasiflora,Desintoxicantes,20000,60ml,"Tintura herbal de valeriana y pasiflora, de uso tradicional para favorecer la relajación y el descanso nocturno. Toma unas gotas disueltas en agua o jugo. Ideal para momentos de tranquilidad antes de dormir."
Zarxin,Desintoxicantes,30000,360ml,"Bebida herbal depurativa elaborada con plantas naturales seleccionadas. Sabor herbal fresco y característico, ideal para tomar fría. Complementa tu alimentación balanceada como parte de una rutina de bienestar."
Almendra x 125 gr,Frutos Secos,14000,125gr,"Almendra crocante y nutritiva, ideal para un snack natural lleno de energía. Rica en grasas saludables y proteína vegetal, perfecta para llevar a cualquier parte. Disfrútala sola, en ensaladas o como topping de tu yogur."
Almendras,Frutos Secos,27000,250gr,"Almendras crujientes, ideales para un snack natural lleno de energía. Ricas en grasas saludables y proteína vegetal, perfectas para llevar a cualquier parte. Disfrútalas solas, en ensaladas o como topping de tu yogur."
Arándanos Deshidratados,Frutos Secos,10000,125gr,"Arándanos deshidratados con dulzura natural y un toque ácido irresistible. Son fuente de fibra y energía, perfectos como snack o para darle sabor a tus postres y batidos de todos los días."
Arándanos Secos,Frutos Secos,19000,250gr,"Arándanos secos con dulzura natural que combinan sabor y nutrición. Aportan fibra y energía, ideales para disfrutar solos, mezclar con tus cereales o crear postres saludables en casa."
Avellanas,Frutos Secos,22000,115gr,"Avellanas suaves con sabor delicado, perfectas para disfrutar como snack. Aportan grasas saludables y vitamina E, ideales para batidos, cremas de untar o tus postres favoritos."
Avellanas,Frutos Secos,40000,230gr,"Avellanas suaves de sabor delicado, ideales para el snack diario. Fuente de grasas saludables y vitamina E, perfectas para tus batidos, cremas caseras y postres favoritos."
Cacao Tostado,Frutos Secos,9000,125gr,"Cacao tostado crujiente, un snack original para los amantes del chocolate. Su sabor intenso es perfecto para comer solo, mezclarlo con frutos secos o agregarlo a tus batidos y postres."
Ciruelas Pasas,Frutos Secos,15000,250gr,"Ciruelas pasas dulces y suaves, un snack natural rico en fibra. Ideales para calmar el antojo de manera saludable o para incluir en compotas, panes y tus recetas de repostería favoritas."
Dátiles Deshidratados,Frutos Secos,10000,125gr,"Dátiles deshidratados, dulzura concentrada que endulza naturalmente tus recetas. Fuente de energía y fibra, perfectos como snack o para reemplazar el azúcar en postres, avena y batidos."
Maní Natural,Frutos Secos,8500,250gr,"Maní natural sin sal ni aditivos, el clásico snack colombiano. Rico en grasas saludables y proteína vegetal, perfecto para picar entre comidas, en ensaladas o para preparar tu propia crema."
Mini Mix Frutos Secos,Frutos Secos,5000,40g,"Mini mix de frutos secos en porción práctica, ideal para llevar a la oficina o de paseo. Combina variedad de texturas y sabores con grasas saludables que te dan energía en cualquier momento."
Nuez del Brasil,Frutos Secos,18000,125gr,"Nuez del Brasil cremosa y suave, un superalimento con grasas saludables y selenio. Perfecta como snack diario, para enriquecer ensaladas o darle un toque especial a tus recetas favoritas."
Nuez del Brasil,Frutos Secos,35000,250gr,"Nuez del Brasil cremosa y suave, una joya nutricional rica en grasas saludables y selenio. Ideal para el snack diario, ensaladas o como complemento de tus preparaciones favoritas."
Nuez Marañón,Frutos Secos,21000,125gr,"Nuez marañón dulce y cremosa, ideal para picar sola o acompañar tus recetas. Aporta grasas saludables y proteína vegetal, perfecta para salsas, batidos o ensaladas frescas."
Nuez Pecana,Frutos Secos,27000,115gr,"Nuez pecano tostada y crujiente, perfecta para el snack de media mañana. Fuente de grasas saludables y antioxidantes, ideal para yogur, ensaladas o deliciosos postres caseros."
Nuez Pecana,Frutos Secos,15000,60gr,"Nuez pecano tostada y crujiente en porción ideal para un antojo. Rica en grasas saludables y antioxidantes, perfecta para comer sola, en yogur o en postres como el clásico pie de nuez."
Pistachos Salados,Frutos Secos,20000,125gr,"Pistachos salados, un snack delicioso en su justa medida. Ricos en proteína vegetal y grasas saludables, perfectos para compartir, en ensaladas o para darle crocancia a tus platos."
Quinua Mix,Frutos Secos,15000,250gr,"Quinua mix andina con variedad de colores y texturas, fuente de proteína completa. Ideal como guarnición, en ensaladas o desayunos, dándole energía natural a tus comidas diarias."
Semanario Frutos Secos,Frutos Secos,20000,210g,"Semanario de frutos secos con la variedad perfecta para tu semana. Combinación de nueces y semillas ricas en grasas saludables, ideal para el snack diario, la oficina o acompañar tus comidas."
Uvas Pasas,Frutos Secos,5000,125gr,"Uvas pasas dulces y suaves, un snack natural rico en fibra y energía. Perfectas para endulzar avena, granola o panes, o para disfrutar solas en cualquier momento del día."
Avena en Hojuelas,Granolas y Cereales,7500,500gr,"Avena en hojuelas integrales, el desayuno clásico para empezar bien el día. Rica en fibra y energía, ideal para preparar avena caliente, granola, batidos o panqueques saludables."
Bites Proteína Vegetal,Granolas y Cereales,7500,180gr,"Bites de proteína vegetal, el snack perfecto para antes o después de entrenar. Compactos y prácticos, aportan energía y proteína para tu día a día. Llévalos a donde vayas."
Boliquinua Vainilla,Granolas y Cereales,13000,100gr,"Mezcla de quinua hinchada con vainilla, endulzada naturalmente. Crocante y ligera, perfecta para el desayuno con leche, yogur o frutas, aportando proteína vegetal y energía a tu día."
Germen de Trigo,Granolas y Cereales,8000,500gr,"Germen de trigo, el concentrado nutritivo del grano integral. Rico en fibra, vitaminas y minerales, ideal para agregar a yogur, avena, sopas o masas de pan y darle un plus nutricional."
Granola de Coco,Granolas y Cereales,13000,400gr,"Granola de coco crujiente con un sabor tropical irresistible. Perfecta para el desayuno con yogur o leche vegetal, aporta energía y fibra para empezar el día con todo el sabor."
Granola Galleta Arroz Sin Gluten Naruna,Granolas y Cereales,21000,450gr,"Granola galleta de arroz sin gluten, crujiente y deliciosa para disfrutar sin preocupaciones. Ideal para celíacos y para quienes buscan un desayuno ligero con yogur, leche o sola."
Granola Multicereales,Granolas y Cereales,13000,400gr,"Granola multicereales con mezcla de granos, semillas y frutos secos. Crujiente y nutritiva, perfecta para el desayuno con yogur o leche, dándole energía y fibra a tu mañana."
Granola Natural Naruna,Granolas y Cereales,15000,400gr,"Granola natural Naruna, elaborada con ingredientes sencillos y auténticos. Crujiente y balanceada, ideal para el desayuno con yogur o leche, aportando fibra y energía natural."
Granola Sin Dulce VitalSinú,Granolas y Cereales,13000,400gr,"Granola sin dulce, pensada para quienes prefieren evitar el azúcar. Crujiente y natural, perfecta con yogur o leche, y para darle fibra y energía a tus mañanas sin endulzantes añadidos."
Granola Sin Gluten VitalSinú,Granolas y Cereales,20000,350gr,"Granola sin gluten, ideal para quienes son celíacos o evitan esta proteína. Crujiente y deliciosa, perfecta para el desayuno con yogur, leche o frutas, cuidando tu alimentación."
Granola Tradicional Naruna,Granolas y Cereales,18000,450gr,"Granola tradicional Naruna, el clásico que nunca falla en el desayuno. Con copos de avena, frutos secos y un toque de dulzura, crujiente y perfecta con yogur o leche."
Granola Tradicional VitalSinú,Granolas y Cereales,12000,400g,"Granola tradicional VitalSinú con la receta de siempre. Crujiente, con avena y frutos secos, ideal para el desayuno con yogur o leche, aportando fibra y energía para tu día."
Keto Granola,Granolas y Cereales,40000,400g,"Keto granola baja en carbohidratos, creada para quienes siguen una dieta cetogénica. Rica en grasas saludables y fibra, crujiente y deliciosa para el desayuno con yogur o leche vegetal."
Ajonjolí Blanco,Harinas y Semillas,15000,250gr,"Ajonjolí blanco, la semilla clásica para tus preparaciones. Rico en calcio y grasas saludables, ideal para espolvorear sobre panes, ensaladas o granolas, y para darle textura a tus recetas."
Ajonjolí Negro,Harinas y Semillas,21000,250gr,"Ajonjolí negro con un toque distintivo y más intenso. Fuente de calcio y grasas saludables, perfecto para espolvorear en ensaladas, panes o postres y darle un giro diferente a tus recetas."
Harina de Almendras,Harinas y Semillas,27000,250gr,"Harina de almendras fina y versátil, perfecta para repostería sin gluten. Rica en proteína vegetal y grasas saludables, ideal para preparar panes, tortas y galletas con textura suave."
Harina de Arroz Integral,Harinas y Semillas,8000,500gr,"Harina de arroz integral sin gluten, ideal para la repostería casera. Suave y versátil, perfecta para panes, tortas y masas, permitiéndote preparar recetas deliciosas para toda la familia."
Harina de Arroz Natural,Harinas y Semillas,7000,500gr,"Harina de arroz natural y libre de gluten, la aliada de la repostería. De textura fina y sabor neutro, ideal para panes, tortas, arepas o espesar tus salsas favoritas."
Harina de Avena,Harinas y Semillas,7000,500gr,"Harina de avena integral, rica en fibra para preparaciones más saludables. Perfecta para panqueques, tortas y galletas con textura suave, dándole un extra nutritivo a tu repostería."
Harina de Coco,Harinas y Semillas,14000,250gr,"Harina de coco sin gluten, baja en carbohidratos y muy versátil. Aporta fibra y un sutil sabor a coco, ideal para repostería saludable, tortas, panes y recetas de estilo paleo."
Harina de Quinua,Harinas y Semillas,17000,500gr,"Harina de quinua sin gluten, hecha del grano andino con proteína completa. Versátil para repostería, panes y masas, le da un toque nutritivo y especial a tus preparaciones diarias."
Harina de Sagú,Harinas y Semillas,13000,500gr,"Harina de sagú colombiana, tradicional para las famosas hojaldras y recetas de la costa. Sin gluten y fácil de usar, ideal para panes, tortas y preparaciones caseras con sabor auténtico."
Linaza Entera,Harinas y Semillas,8000,250gr,"Semilla de linaza entera, rica en fibra y omega 3. Ideal para agregar a batidos, yogur, avena o panes, aportando textura y nutrientes a tus preparaciones. Un grano versátil para una alimentación natural."
Linaza Molida,Harinas y Semillas,7000,250gr,"Linaza molida lista para usar, rica en fibra y omega 3. Ideal para agregar a batidos, yogur, avena o panes, mejorando la textura y el valor nutricional de tus preparaciones."
Quinua Grano,Harinas y Semillas,15000,500g,"Quinua grano andina, el superalimento de los Andes con proteína completa. Versátil y nutritiva, ideal como guarnición, en ensaladas, sopas o desayunos que te llenan de energía."
Semilla de Amapola,Harinas y Semillas,18000,125gr,"Semillas de amapola pequeñas y versátiles, perfectas para panadería. Aportan fibra y nutrientes, ideales para decorar y darle textura a panes, bagels, tortas y ensaladas."
Semilla de Calabaza,Harinas y Semillas,13000,125gr,"Semillas de calabaza tostadas y crujientes, un snack nutritivo. Ricas en proteína vegetal, magnesio y grasas saludables, perfectas para picar, agregar a ensaladas o mezclar con tu granola."
Semilla de Chía,Harinas y Semillas,15000,250gr,"Semillas de chía, un superalimento pequeño pero poderoso. Ricas en fibra y omega 3, ideales para batidos, yogur, pudines o para darle cuerpo y nutrición a tus preparaciones."
Semilla de Girasol,Harinas y Semillas,6000,125gr,"Semillas de girasol crujientes, un snack ligero y nutritivo. Ricas en vitamina E y grasas saludables, perfectas para ensaladas, granolas, panes o para disfrutar solas entre comidas."
Semillas de Chía,Harinas y Semillas,9000,125gr,"Semillas de chía en presentación práctica para tu día a día. Pequeñas pero ricas en fibra y omega 3, ideales para batidos, yogur, avena o pudines saludables."
Semillas de Fenogreco,Harinas y Semillas,9000,125gr,"Semillas de fenogreco con sabor característico y un toque tradicional. Aportan fibra y nutrientes, ideales para agregar a curries, guisos, sopas o infusiones con un sabor especial."
Helado Vegano en Vasito,Helados Veganos,11000,,"Helado vegano en vasito, cremoso y refrescante, elaborado a base vegetal sin lácteos. Su textura suave y su sabor dulce lo hacen perfecto para disfrutar en cualquier momento. Una delicia 100% vegetal, apta para veganos."
Helado Vegano Medio Litro,Helados Veganos,26000,500ml,"Helado vegano de medio litro, cremoso y suave, hecho a base vegetal sin ingredientes de origen animal. Ideal para compartir en familia o consentirte solo, con una textura que no le pide nada a los helados tradicionales."
Paleta Vegana,Helados Veganos,9500,,"Paleta vegana, fresca y cremosa, elaborada a base vegetal sin lácteos. Perfecta para combatir el calor y darte un gusto dulce sin ingredientes animales. Su textura suave y su sabor refrescante la hacen irresistible."
Spiruté Infusión Cúrcuma,Infusiones,25000,20 unidades,"Infusión de cúrcuma en sobres individuales, de uso tradicional por su característico sabor terroso y cálido. Prepara una taza caliente y disfruta de un momento aromático y reconfortante en cualquier hora del día."
Spiruté Infusión Jengibre,Infusiones,25000,20 unidades,"Infusión de jengibre en sobres, con su característico sabor picante y cálido. De uso tradicional para disfrutar en una taza caliente. Ideal para esos momentos de pausa, sola o con un toque de miel."
Spiruté Purificante,Infusiones,20000,14 unidades,"Infusión purificante en sobres, una mezcla de hierbas seleccionadas para acompañar tu rutina de bienestar. Sabor herbal suave y agradable. Prepara una taza caliente después de las comidas y disfruta un momento natural."
Spiruté Verde - Té Matcha y Té Verde,Infusiones,30000,20 unidades,"Infusión de té matcha y té verde en sobres. Sabor suave y ligeramente vegetal, refrescante caliente o frío. Una opción natural y práctica para acompañar tus momentos de concentración o pausa durante el día."
Vitaliah Tox - Bebida con Propóleo,Infusiones,30000,300ml,"Bebida con propóleo de abejas, de sabor herbal con un toque dulce característico. Una opción natural para complementar tu rutina de bienestar diaria. Consúmela fría o a temperatura ambiente, en las dosis recomendadas."
Galleta de Arroz y Ajonjolí,Libre de Gluten,13500,6 unidades / 190gr,"Galletas de arroz y ajonjolí, crocantes y ligeras, ideales para acompañar el café o el almuerzo. Su toque de ajonjolí aporta textura y sabor natural. Opción sin gluten, perfecta para quienes buscan snacks saludables y sencillos."
Galletas Arroz,Libre de Gluten,13500,6 unidades / 190gr,"Galletas de arroz inflado, ligeras y crocantes, con sabor suave y natural. Perfectas para comer solas, untarlas con queso crema o acompañar sopas y comidas. Libres de gluten, ideales para toda la familia en cualquier momento."
Galletas Arroz y Arándanos,Libre de Gluten,13500,6 unidades / 190gr,"Galletas de arroz con trozos de arándano, que combinan la crocancia del arroz con un toque frutal y dulce. Sin gluten, ideales como merienda ligera a media mañana o para acompañar el té. Un antojo natural y delicioso."
Galletas Arroz y Chía,Libre de Gluten,13500,6 unidades / 190gr,"Galletas de arroz con chía, crujientes y ligeras, con el aporte natural de la semilla de chía. Sin gluten, perfectas para acompañar el desayuno, el café o como pasabocas saludable. Su textura crocante las hace irresistibles."
Galletas de Almendras,Libre de Gluten,8000,70g,"Galletas de almendras, crujientes y con un sabor delicado a frutos secos. Elaboradas con almendras, son perfectas para acompañar el café o el té. Una opción práctica y natural para una merienda satisfactoria en cualquier momento del día."
Galletas de Arroz Chocochips,Libre de Gluten,6500,,"Galletas de arroz con chocochips, que unen la ligereza del arroz con el sabor del chocolate. Sin gluten, son una alternativa divertida y natural para consentirte. Ideales para la lonchera, la merienda o para disfrutar con leche o café."
Galletas de Arroz y Avena,Libre de Gluten,10500,120g,"Galletas de arroz y avena, suaves y ligeramente dulces, con la combinación de dos cereales naturales. Sin gluten, ideales para el desayuno, la merienda o para acompañar tus bebidas calientes. Textura crujiente que encanta a grandes y chicos."
Galleticas de Arroz con Almendras x 12,Libre de Gluten,14500,12 unidades,"Galleticas de arroz con almendras, crocantes y ligeras, con el toque saludable del arroz y las almendras. Sin gluten, ideales para la merienda, el desayuno o acompañar tus bebidas calientes. Un snack natural perfecto para toda la familia."
Mogollas Arroz Sin Gluten,Libre de Gluten,16000,6 unidades,"Mogollas de arroz sin gluten, pan redondo tradicional colombiano, esponjoso y suave. Elaboradas con harina de arroz, ideales para quienes evitan el gluten. Perfectas para el desayuno, la lonchera o para acompañar chocolate caliente o café."
Mogollas de Sagú,Libre de Gluten,14000,300g,"Mogollas de sagú, pan redondo y esponjoso elaborado con almidón de sagú, típico de la tradición colombiana. Sin gluten, de miga suave y sabor neutro. Ideales para el desayuno, la comida o para compartir en familia."
"Mogollas Sin Gluten Quinua, Amaranto y Chía",Libre de Gluten,14000,,"Mogollas sin gluten de quinua, amaranto y chía, panes redondos, suaves y esponjosos. Combinan tres granos andinos nutritivos en un pan tradicional. Ideales para el desayuno, la lonchera o para acompañar café y comidas de todos los días."
Palitos Arroz Bocadillo,Libre de Gluten,18000,10 unidades,"Palitos de arroz con relleno de bocadillo, la combinación perfecta entre lo crocante del arroz y el dulce sabor de la guayaba. Sin gluten, ideales como antojo natural para la merienda, la lonchera o para compartir con café."
Palitos de Arroz,Libre de Gluten,9000,12 unidades,"Palitos de arroz, crocantes y ligeros, con sabor suave que encanta a todos. Sin gluten, ideales para la lonchera de los niños, como pasabocas o para acompañar comidas y cremas. Prácticos, naturales y deliciosos."
Pan de Hamburguesa de Arroz,Libre de Gluten,17000,250g,"Pan de hamburguesa de arroz, suave y esponjoso, sin gluten. Elaborado con harina de arroz para que todos disfruten una buena hamburguesa sin preocupaciones. Perfecto para hamburguesas, sándwiches o comidas rápidas caseras y naturales."
Pan de Sagú con Chips Sin Gluten,Libre de Gluten,21000,400gr,"Pan de sagú con chips sin gluten, esponjoso y de sabor suave, elaborado con almidón de sagú y trocitos de chocolate. Un pan regional colombiano ideal para el desayuno, la merienda o para acompañar chocolate caliente."
Pan Tajado de Quinua Sin Gluten,Libre de Gluten,16000,400g,"Pan tajado de quinua sin gluten, suave y de miga esponjosa, elaborado con harina de quinua. Apto para quienes evitan el gluten. Perfecto para hacer sándwiches, tostadas o para acompañar tus comidas de todos los días."
Pan Tajado de Sagú,Libre de Gluten,18500,400gr,"Pan tajado de sagú, suave y esponjoso, elaborado con almidón de sagú, un pan regional tradicional colombiano. Sin gluten, ideal para preparar sándwiches, tostadas o para el desayuno y la lonchera. Sabor casero y auténtico."
Ashwagandha Polvo,Malteadas,0,500gr,"Ashwagandha en polvo, hierba adaptógena tradicional. Ayuda a manejar el estrés y favorece la calma y el equilibrio. Una aliada natural para el bienestar diario."
Batido Verde,Malteadas,85000,1020 gr,"Batido verde en polvo con ingredientes naturales como vegetales y frutas. Aporta vitaminas, fibra y antioxidantes para tu energía diaria. Mezcla con agua o tu leche favorita."
Beauty Quick,Malteadas,50000,,"Polvo para batido que apoya la belleza de piel, cabello y uñas. Mezcla de vitaminas, minerales y nutrientes que contribuyen a lucir un aspecto saludable. Ideal para añadir a tus malteadas diarias."
